City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Sibolga,ID,77.0,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
488,Jacareacanga,BR,75.07,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
490,Sinnamary,GF,78.28,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
499,Coacoyul,MX,81.93,few clouds,17.8058,-99.11,Casa Abuelita Natalia
500,Puerto Cabello,VE,76.71,overcast clouds,10.4731,-68.0125,Las Palmeras
501,Lingao,CN,80.19,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
509,Acajutla,SV,84.47,scattered clouds,13.5928,-89.8275,Laureles
512,Cockburn Town,TC,75.09,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
519,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
521,Meadow Lake,US,81.61,clear sky,34.8014,-106.5436,TumbleWeed RV Park
527,Palauig,PH,85.12,overcast clouds,15.435,119.9045,Alperi Botique Resort
531,Bubaque,GW,77.14,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
538,Gushikawa,JP,81.99,broken clouds,26.3544,127.8686,Kirari Guest House
540,Digha,IN,79.97,clear sky,21.6833,87.55,Khoniker Atithi
545,Carutapera,BR,75.45,overcast clouds,-1.195,-46.02,Lidera
546,Itarema,BR,76.69,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
547,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
549,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
552,Banda Aceh,ID,80.92,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
556,Sarh,TD,78.76,scattered clouds,9.1429,18.3923,Domicile 1sur le goudron
557,Kapit,MY,76.44,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
558,Manokwari,ID,82.29,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
565,Sur,OM,87.26,broken clouds,22.5667,59.5289,Sur Plaza Hotel
568,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
569,Pangai,TO,79.77,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
570,Sorong,ID,78.64,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
